ID_3,EventID,StationID,Stream_3,Units_3,Magnitude_3,Country_3,Depth_3,VS30_3,EpicentralDistance_3,MainPGA_3,MainPGV_3,MainPGD_3,MainMaxFrequency_3,MainMaxDI_3,MainMaxRI_3,MainMaxMMI_3,MainMaxMMI_PGA_3,MainMaxMMI_PGV_3,HVSR_3,MainHousnerIntensity_3,TrainPGA_3,TrainPGV_3,TrainPGD_3,TrainMaxFrequency_3,TrainMaxDI_3,TrainMaxRI_3,TrainMaxMMI_3,TrainMaxMMI_PGA_3,TrainMaxMMI_PGV_3,TrainHousnerIntensity_3,ID_4,Stream_4,Units_4,Magnitude_4,Country_4,Depth_4,VS30_4,EpicentralDistance_4,MainPGA_4,MainPGV_4,MainPGD_4,MainMaxFrequency_4,MainMaxDI_4,MainMaxRI_4,MainMaxMMI_4,MainMaxMMI_PGA_4,MainMaxMMI_PGV_4,HVSR_4,MainHousnerIntensity_4,TrainPGA_4,TrainPGV_4,TrainPGD_4,TrainMaxFrequency_4,TrainMaxDI_4,TrainMaxRI_4,TrainMaxMMI_4,TrainMaxMMI_PGA_4,TrainMaxMMI_PGV_4,TrainHousnerIntensity_4,TrainMaxDI,TrainMaxRI,TrainMaxMMI,MainMaxDI,MainMaxRI,MainMaxMMI,MainMaxMMI_PGA
155383117-3,15538,3117,3.0,cm/s^2,6.4,Turkey,21.73,597.0,59.45,43.4013988244161,3.737695067525837,1.698702924172656,5.476190476190476,1.9727255632319585,4.372725563231958,7.371425885078791,6.492064475755528,5.158100784646107,0.5161614905337466,0.940304142057658,22.14845400375749,1.4092193919658014,1.4203008114186817,5.389221556886228,1.2567583108207072,3.656758310820707,6.246334488432539,5.357313832375726,3.31956717080057,0.1828750325720124,155383117-4,,,6.4,Turkey,21.73,597.0,59.45,125.26951287710402,7.553200531869359,2.508199945006488,2.826598638637184,2.777392984061938,5.177392984061938,8.63590326066876,8.494484590263307,6.853606701031536,,,35.33974503583607,1.2375589307093529,0.3878395510184164,4.990019960079841,1.383551200374573,3.783551200374573,6.445580457731472,6.259706690337348,3.438767374028545,,1.383551200374573,3.783551200374573,6.445580457731472,2.777392984061938,5.177392984061938,8.63590326066876,8.494484590263307
155372718-3,15537,2718,3.0,cm/s^2,7.6,Turkey,7.0,572.0,131.79,21.817567940970523,3.4701463772595664,3.134147276389783,2.1358291336693065,1.5484167789025194,3.9484167789025193,6.704654938275388,5.331923813121854,5.018109428260888,0.4150718542550874,1.1528992892099548,10.64839134282947,0.6897966924405288,0.3219108222834455,2.1956087824351296,0.6011142356556325,3.001114235655632,5.216036656030279,4.121971070259618,1.97304960700218,0.2076813924817672,155372718-4,,,7.6,Turkey,7.0,572.0,131.79,40.41826270013294,7.498443797659488,4.493819878040547,0.886522558884156,2.5011686520996084,4.901168652099608,8.201836453299384,6.611553362967528,7.245589431175265,,,5.382250375094806,0.5591768753566109,0.6894631564953687,1.3240019123175248,0.3758527995775291,2.775852799577529,4.862054399336117,3.040912468585214,1.7834860475817793,,0.6011142356556325,3.001114235655632,5.216036656030279,2.5011686520996084,4.901168652099608,8.201836453299384,6.611553362967528
155373138-3,15537,3138,3.0,cm/s^2,7.6,Turkey,7.0,619.0,156.81,18.641238914741752,3.963183410831316,2.436924227341995,0.7258721576179543,1.591339549721841,3.991339549721841,6.7721050067057496,5.066524016808931,5.268511703734706,2.4253966557951965,1.4744942784505015,8.130337371536367,0.4841906343255439,0.1775501246923643,2.1956087824351296,0.3657804547990396,2.76578045479904,4.84622642896992,3.6668616749572194,1.3059711093862263,0.1247287082473569,155373138-4,,,7.6,Turkey,7.0,619.0,156.81,58.76705471131513,7.277171984627389,3.599331502350633,1.76052790362143,2.5921843735722074,4.992184373572208,8.344861158470612,7.335077454796266,6.604158181531822,,,9.324556502883286,0.6296460491913045,0.4611683200954631,2.5247725829687657,0.8970297916112742,3.297029791611274,5.681046815389145,4.746504173644782,2.499767642246672,,0.8970297916112742,3.297029791611274,5.681046815389145,2.5921843735722074,4.992184373572208,8.344861158470612,7.335077454796266
155373802-3,15537,3802,3.0,cm/s^2,7.6,Turkey,7.0,305.0,77.41,121.52756156843692,12.80122691755794,5.686362378869063,0.8976979824015643,2.857599864547332,5.257599864547332,8.761942644288665,8.228876860821593,7.478471926871309,0.6125825068617037,6.267410527521061,47.73475298152844,5.807415749426834,12.187785054035466,6.187624750499002,2.3604272077321795,4.76042720773218,7.980671326436282,6.652593895230585,5.988685864245768,0.892328585775369,155373802-4,,,7.6,Turkey,7.0,305.0,77.41,208.4032551429662,26.73314937480384,11.402935114883707,0.5499140804642438,3.4586159363580897,5.85861593635809,9.706396471419856,9.237572629191488,8.920025106334865,,,39.39895837133713,4.036787368601702,2.62885840530144,1.5716582582857908,2.164615885974002,4.564615885974002,7.672967820816288,6.4193940321893415,5.638003376457277,,2.3604272077321795,4.76042720773218,7.980671326436282,3.4586159363580897,5.85861593635809,9.706396471419856,9.237572629191488
155373804-3,15537,3804,3.0,cm/s^2,7.6,Turkey,7.0,637.0,102.93,27.201569302225376,3.809343211586607,3.160254429758984,1.1919046476281896,1.9007705544851992,4.300770554485199,7.258353728476742,5.703962940264051,5.193889447842432,1.0558904933850812,1.3353184722979416,10.22833635253866,1.552492859750652,3.265575721679116,4.191616766467066,0.9374010221355996,3.3374010221355994,5.744487320498799,4.054082624255173,3.5020685136464045,0.2556476090254432,155373804-4,,,7.6,Turkey,7.0,637.0,102.93,36.42065993613248,6.01810836982865,3.732777341390261,1.2585207864521004,2.252450522084973,4.652450522084973,7.8109936775621,6.2596534326618185,6.451458576974812,,,8.240887218803273,1.8408019431195248,3.634975449512388,2.222660424283442,1.2077683229085212,3.607768322908521,6.16935022171339,3.838271824818009,4.366198563106455,,1.2077683229085212,3.607768322908521,6.16935022171339,2.252450522084973,4.652450522084973,7.8109936775621,6.2596534326618185
155373805-3,15537,3805,3.0,cm/s^2,7.6,Turkey,7.0,384.0,164.68,40.95325716143453,8.439056803118646,6.711479786579647,0.1777646100288867,1.939935752975101,4.339935752975101,7.319899040389443,6.394128333932026,6.693115569929358,5.921359641163509,1.155504950043051,40.95325716143453,1.9968396230322265,1.9211148336919328,8.782435129740518,1.5869897610251065,3.9869897610251055,6.765269624468024,6.394128333932026,3.976489426100608,0.4095407623116439,155373805-4,,,7.6,Turkey,7.0,384.0,164.68,39.76080851936252,6.540781838766501,5.463404969382973,1.0526081874522195,2.182810287320371,4.58281028732037,7.701559022932011,6.442769498654556,6.295793856238088,,,30.59743025689967,1.5684622015557677,1.3036439864558378,4.507620674904676,1.7734581787924049,4.173458178792405,7.0582914238166365,6.244584334664634,4.187353978100637,,1.7734581787924049,4.173458178792405,7.0582914238166365,2.182810287320371,4.58281028732037,7.701559022932011,6.442769498654556
155374409-3,15537,4409,3.0,cm/s^2,7.6,Turkey,7.0,809.0,56.86,124.0582801464102,5.736768074872489,3.1368922742071264,0.5904199600038091,2.51674411826376,4.916744118263759,8.22631218584305,8.263642436802982,5.965616050103591,0.910969112673738,2.5389599231117845,7.406381941933874,0.7756401665770541,1.843208513139464,5.588822355289421,0.6463665523685247,3.0463665523685246,5.287147439436253,3.509550110085571,2.194125662754799,0.1489559643737965,155374409-4,,,7.6,Turkey,7.0,809.0,56.86,250.0436006237537,10.084245395090557,7.259240889523419,0.537854347069534,3.308568941834674,5.708568941834674,9.470608337168771,9.682531647172237,7.541019717394099,,,8.261767667406179,0.9886272728130048,2.1385903682955334,4.205849801538021,0.8703159145071275,3.2703159145071274,5.639067865654058,3.987270774981237,2.954112748845383,,0.8703159145071275,3.2703159145071274,5.639067865654058,3.308568941834674,5.708568941834674,9.470608337168771,9.682531647172237
155374410-3,15537,4410,3.0,cm/s^2,7.6,Turkey,7.0,623.0,94.59,54.31589115166352,5.29356566160886,3.431662647980359,0.5688383254821794,2.101138703566888,4.501138703566888,7.573217962747966,6.870456115827812,5.814067641338589,1.6345871038277524,2.417415902967292,6.557909826080599,0.4680469673186872,0.4409627411533053,0.7984031936127745,0.1042280472465043,2.5042280472465044,4.435215502815936,3.304316971481362,1.2420561505203729,0.1579924164625346,155374410-4,,,7.6,Turkey,7.0,623.0,94.59,118.38213834415492,11.819788042864994,6.204943145285292,0.929815790996144,2.9032959948953496,5.3032959948953495,8.833750849121264,8.280779310641496,7.53735060336769,,,7.310881995723932,0.3531774735913892,0.4191835759297621,8.746068782517623,0.4513157461986965,2.851315746198696,4.980639029740808,3.73409006998873,1.5351238810112855,,0.4513157461986965,2.851315746198696,4.980639029740808,2.9032959948953496,5.3032959948953495,8.833750849121264,8.280779310641496
155374412-3,15537,4412,3.0,cm/s^2,7.6,Turkey,7.0,780.0,99.89,78.84012029732887,29.31206320569635,25.937478395875942,0.177761976713181,3.176914631873421,5.5769146318734215,9.263722992943949,7.498966428805967,9.039981325913608,1.7663521732655694,6.148016770124142,23.56418698275129,3.4105449627339453,3.7127059582721023,7.18562874251497,1.8255356782349184,4.225535678234918,7.140127494369157,5.461828555500064,4.985455202607197,0.4409969278788668,155374412-4,,,7.6,Turkey,7.0,780.0,99.89,142.27017130871866,33.01485610141451,21.455546897099225,0.3139902538913108,3.568417568866721,5.9684175688667205,9.878941893933415,8.696708913216302,9.458909396314258,,,14.751439798636945,1.32181958355361,1.7695957156844988,4.782095229824726,1.298604695055787,3.698604695055786,6.312093092230522,5.103676443559396,3.912696466604096,,1.8255356782349184,4.225535678234918,7.140127494369157,3.568417568866721,5.9684175688667205,9.878941893933415,8.696708913216302
155374612-3,15537,4612,3.0,cm/s^2,7.6,Turkey,7.0,246.0,66.68,495.5221477451093,52.51262776455449,28.76740710651201,0.3237786877440243,4.227119863196193,6.627119863196192,10.9140454993083,10.59962496536524,10.138944680194186,2.1298667047331383,12.680839569743991,233.208722962326,10.932561134250884,17.880330667536324,8.383233532934131,3.093169506175028,5.493169506175028,9.132123509703616,9.328320767408515,7.181053109248392,1.4049834321667534,155374612-4,,,7.6,Turkey,7.0,246.0,66.68,580.6218024040272,103.98064924210888,42.70019277456095,0.6896054467281848,4.808379496590658,7.208379496590657,11.82745349464246,11.039447569877453,12.206301235787109,,,47.21851222111851,6.350583298113254,16.377225745692282,1.308869964930539,2.839510649156417,5.239510649156417,8.733516734388655,7.3116629984565265,7.208697803591854,,3.093169506175028,5.493169506175028,9.132123509703616,4.808379496590658,7.208379496590657,11.82745349464246,11.039447569877453
155374613-3,15537,4613,3.0,cm/s^2,7.6,Turkey,7.0,998.0,96.56,73.50995608773418,13.39167289314826,14.91954731820822,0.1244333836992267,2.526396453113471,4.926396453113471,8.241480140606882,7.380888498324819,7.563463173665156,1.9678539019937016,3.065337035355124,11.153717822743598,1.817696282728469,3.8753817270643136,1.996007984031936,1.09892070441279,3.49892070441279,5.998303964077241,4.200177932655021,3.799322524742715,0.2326995520772208,155374613-4,,,7.6,Turkey,7.0,998.0,96.56,78.7234693249075,14.21233691738538,10.54410073098448,0.2448667196508027,2.760518006233964,5.160518006233964,8.609385438367658,7.500961295305989,7.811690884305508,,,15.48173621002659,1.4687089295506268,3.133625673105706,8.498869802811885,1.544970968912002,3.944970968912002,6.699240094004574,4.8207922254287245,4.50815473982612,,1.544970968912002,3.944970968912002,6.699240094004574,2.760518006233964,5.160518006233964,8.609385438367658,7.500961295305989
155374617-3,15537,4617,3.0,cm/s^2,7.6,Turkey,7.0,574.0,66.5,54.95444222235118,14.734606401566124,6.555292057304323,0.5618512522616893,2.5991734383052787,4.999173438305279,8.355843974479724,6.890170891570973,7.743589260309699,0.7387964311085888,5.246730634011657,13.256263778990936,0.7435119419508386,1.3507089223879334,3.193612774451098,0.6921398450470528,3.0921398450470527,5.359076899359654,4.491483697198066,2.1143896958587294,0.1690152760522255,155374617-4,,,7.6,Turkey,7.0,574.0,66.5,68.4326460653543,24.27949717983341,16.769162949026455,0.4150936999848275,3.0014798827199827,5.401479882719983,8.98803981570283,7.630765900367368,8.893866771069739,,,7.286081623435236,1.4424694048687496,4.185426509150352,0.7984031936127745,0.7895812405153642,3.189581240515364,5.512199092238429,4.3265394202744805,4.027684706333684,,0.7895812405153642,3.189581240515364,5.512199092238429,3.0014798827199827,5.401479882719983,8.98803981570283,7.630765900367368
